Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.04.59,135,0,0,135,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.07.34,135,37,41,135,41,41,41,37,37,2,37,41,37,37,4
2025.09.08-18.41.40,135,37,41,135,41,41,41,37,37,102,37,41,37,37,4
2025.09.10-18.08.58,135,37,41,135,41,41,41,37,37,103,37,41,37,37,4
2025.09.14-13.59.43,135,37,41,135,41,41,41,37,37,129,37,41,37,37,4
2025.09.15-18.24.23,135,37,41,135,41,41,41,37,37,135,37,41,37,37,4
2025.09.17-18.25.18,135,37,41,135,41,41,41,37,37,135,37,41,37,37,135
2025.09.23-17.10.36,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
2025.09.26-17.39.37,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
